"","title","writer","written","rating","word","sentiment"
"314","Now is a great time to visit","Sian248","Oct 2020",5,"visit","positive"
"315","Now is a great time to visit","Sian248","Oct 2020",5,"helpful","joy"
"316","Now is a great time to visit","Sian248","Oct 2020",5,"helpful","positive"
"317","Now is a great time to visit","Sian248","Oct 2020",5,"helpful","trust"
"318","Now is a great time to visit","Sian248","Oct 2020",5,"departure","negative"
"319","Now is a great time to visit","Sian248","Oct 2020",5,"departure","sadness"
"320","Now is a great time to visit","Sian248","Oct 2020",5,"crew","trust"
"321","British Museum","KNS","Oct 2020",5,"beautiful","joy"
"322","British Museum","KNS","Oct 2020",5,"beautiful","positive"
"323","British Museum","KNS","Oct 2020",5,"learn","positive"
"324","British Museum","KNS","Oct 2020",5,"broken","anger"
"325","British Museum","KNS","Oct 2020",5,"broken","fear"
"326","British Museum","KNS","Oct 2020",5,"broken","negative"
"327","British Museum","KNS","Oct 2020",5,"broken","sadness"
"328","Worth a visit","Amanda Moo","Oct 2020",4,"rainy","sadness"
"329","Worth a visit","Amanda Moo","Oct 2020",4,"sore","anger"
"330","Worth a visit","Amanda Moo","Oct 2020",4,"sore","negative"
"331","Worth a visit","Amanda Moo","Oct 2020",4,"sore","sadness"
"332","Worth a visit","Amanda Moo","Oct 2020",4,"stone","anger"
"333","Worth a visit","Amanda Moo","Oct 2020",4,"stone","negative"
"334","Worth a visit","Amanda Moo","Oct 2020",4,"worth","positive"
"335","Worth a visit","Amanda Moo","Oct 2020",4,"visit","positive"
"336","Fresh, airy museum, good at the social distancing","Amy R","Oct 2020",5,"spent","negative"
"337","Amazing","K.S.Emma","Oct 2020",5,"beautiful","joy"
"338","Amazing","K.S.Emma","Oct 2020",5,"beautiful","positive"
"339","Amazing","K.S.Emma","Oct 2020",5,"beautiful","joy"
"340","Amazing","K.S.Emma","Oct 2020",5,"beautiful","positive"
"341","Amazing","K.S.Emma","Oct 2020",5,"unique","positive"
"342","Amazing","K.S.Emma","Oct 2020",5,"unique","surprise"
"343","Ground floor open only.","Clivey57","Oct 2020",4,"disappointed","anger"
"344","Ground floor open only.","Clivey57","Oct 2020",4,"disappointed","disgust"
"345","Ground floor open only.","Clivey57","Oct 2020",4,"disappointed","negative"
